Top pages,Clicks,Impressions,CTR,Position
https://doscientos.es/,6,17,35.29%,6.29
https://www.doscientos.es/blog,0,36,0%,93.31
https://doscientos.es/blog/modernizacion-sistemas-legacy/,0,30,0%,51.63
https://doscientos.es/blog/ecosistema-startup-castellon/,0,8,0%,3.25
https://doscientos.es/blog/transformacion-digital-pymes-castellon/,0,6,0%,4.67
https://www.doscientos.es/privacy,0,5,0%,3.8
https://www.doscientos.es/blog/mejores-agencias-desarrollo-web-barcelona-2026,0,5,0%,12.4
https://doscientos.es/blog/proceso-en-flatmatch/,0,4,0%,87.75
https://doscientos.es/blog/validar-mvp-6-semanas/,0,3,0%,6.67
https://doscientos.es/privacy/,0,2,0%,2.5
https://doscientos.es/blog/,0,2,0%,3.5
https://doscientos.es/cookies/,0,1,0%,4
https://www.doscientos.es/blog/modernizacion-sistemas-legacy,0,1,0%,4